ID,Carriera Triennale,Scuola Triennale,CDS Triennale,Maturità,Carriera Magistrale,Scuola Magistrale,CDS Magistrale
99679010,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA MECCANICA,CLASSICA,#N/D,,
99678044,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA BIOMEDICA,SCIENTIFICA,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA BIOMEDICA
99672963,TITOLO CONSEGUITO,Arc - Urb - Cost,SCIENZE DELL'ARCHITETTURA,ARTE APPLICATA,TITOLO CONSEGUITO,Arc - Urb - Cost,ARCHITETTURA - PROGETTAZIONE ARCHITETTONICA
99679442,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA GESTIONALE,SCIENTIFICA,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA GESTIONALE
99672526,ATTIVO,Des,DESIGN DEL PRODOTTO INDUSTRIALE,SCIENTIFICA,#N/D,,
99675027,DECADUTO,Ing Ind - Inf,INGEGNERIA GESTIONALE,SCIENTIFICA,#N/D,,
99621322,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA GESTIONALE,SCIENTIFICA,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA GESTIONALE
99605790,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA DEI MATERIALI E DELLE NANOTECNOLOGIE,SCIENTIFICA,#N/D,,
99671284,DECADUTO,Ing Ind - Inf,INGEGNERIA INFORMATICA (ON LINE),SCIENTIFICA,#N/D,,
99678102,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA AEROSPAZIALE,SCIENTIFICA,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA SPAZIALE
99813663,DECADUTO,Ing Ind - Inf,INGEGNERIA INFORMATICA (ON LINE),SCIENTIFICA,#N/D,,
99988097,TITOLO CONSEGUITO,Arc - Urb - Cost,SCIENZE DELL'ARCHITETTURA,SCIENTIFICA,TITOLO CONSEGUITO,Arc - Urb - Cost,ARCHITETTURA
99655061,ATTIVO,Ing Ind - Inf,INGEGNERIA GESTIONALE,SCIENTIFICA,#N/D,,
99803255,DECADUTO,Arc - Urb - Cost,ARCHITETTURA AMBIENTALE,CLASSICA,#N/D,,
99625183,TITOLO CONSEGUITO,Des,DESIGN DELLA MODA,SCIENTIFICA,#N/D,,
99672268,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA DELL'AUTOMAZIONE,SCIENTIFICA,#N/D,,
99617127,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA INFORMATICA,TECNICA IND/LE - TELECOMUNICAZIONI,#N/D,,
99673914,TITOLO CONSEGUITO,Arc - Urb - Cost,SCIENZE DELL'ARCHITETTURA,SCIENTIFICA,TITOLO CONSEGUITO,Arc - Urb - Cost,ARCHITETTURA
99595224,TITOLO CONSEGUITO,Des,DESIGN DELLA COMUNICAZIONE,CLASSICA,#N/D,,
99719366,DECADUTO,Ing Ind - Inf,INGEGNERIA INFORMATICA (ON LINE),SCIENTIFICA,#N/D,,
99609183,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA MATEMATICA,SCIENTIFICA,#N/D,,
99608225,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA MECCANICA,SCIENTIFICA,#N/D,,
99655248,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA ENERGETICA,CLASSICA,#N/D,,
99622281,TITOLO CONSEGUITO,Arc - Urb - Cost,SCIENZE DELL'ARCHITETTURA,CLASSICA,#N/D,,
99691524,DECADUTO,Arc - Urb - Cost,URBANISTICA,SCIENTIFICA,#N/D,,
99676795,RINUNCIA AGLI STUDI,Ing Ind - Inf,INGEGNERIA MATEMATICA,SCIENTIFICA,#N/D,,
99600786,TITOLO CONSEGUITO,Ing - Civ,INGEGNERIA CIVILE,TECNICA PER GEOMETRI,#N/D,,
99595916,TITOLO CONSEGUITO,Arc - Urb - Cost,SCIENZE DELL'ARCHITETTURA,CLASSICA,#N/D,,
99596844,RINUNCIA AGLI STUDI,Arc - Urb - Cost,SCIENZE DELL'ARCHITETTURA,CLASSICA,#N/D,,
99696881,TITOLO CONSEGUITO,Ing - Civ,INGEGNERIA CIVILE,TECNICA PER GEOMETRI,#N/D,,
99689562,TITOLO CONSEGUITO,Arc - Urb - Cost,SCIENZE DELL'ARCHITETTURA,SCIENTIFICA,TITOLO CONSEGUITO,Arc - Urb - Cost,ARCHITETTURA - PROGETTAZIONE ARCHITETTONICA
99662850,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA FISICA,SCIENTIFICA,#N/D,,
99595174,TITOLO CONSEGUITO,Arc - Urb - Cost,SCIENZE DELL'ARCHITETTURA,SCIENTIFICA,#N/D,,
99619880,TITOLO CONSEGUITO,Arc - Urb - Cost,SCIENZE DELL'ARCHITETTURA,CLASSICA,#N/D,,
99624798,TITOLO CONSEGUITO,Des,DESIGN DEL PRODOTTO INDUSTRIALE,SCIENTIFICA,#N/D,,
99691268,TITOLO CONSEGUITO,Des,DESIGN DEGLI INTERNI,SCIENTIFICA,#N/D,,
99611254,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA ENERGETICA,CLASSICA,#N/D,,
99619150,TITOLO CONSEGUITO,Des,DESIGN DEGLI INTERNI,SCIENTIFICA,#N/D,,
99595365,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA ENERGETICA,SCIENTIFICA,#N/D,,
99618533,CONGEDATO,Ing Ind - Inf,INGEGNERIA ENERGETICA,SCIENTIFICA,#N/D,,
99672521,TITOLO CONSEGUITO,Arc - Urb - Cost,SCIENZE DELL'ARCHITETTURA,CLASSICA,TITOLO CONSEGUITO,Arc - Urb - Cost,ARCHITETTURA - PROGETTAZIONE ARCHITETTONICA
99621440,TITOLO CONSEGUITO,Arc - Urb - Cost,SCIENZE DELL'ARCHITETTURA,SCIENTIFICA,#N/D,,
99737305,DECADUTO,Ing Ind - Inf,INGEGNERIA INFORMATICA,SCIENTIFICA,#N/D,,
99672394,DECADUTO,Arc - Urb - Cost,INGEGNERIA DELL' EDILIZIA,SCIENTIFICA,#N/D,,
99625743,TITOLO CONSEGUITO,Des,DESIGN DELLA COMUNICAZIONE,CLASSICA,TITOLO CONSEGUITO,Des,DESIGN DELLA COMUNICAZIONE
99674683,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA INFORMATICA,RAGIONIERE,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA INFORMATICA
99678557,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA ENERGETICA,SCIENTIFICA,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA ENERGETICA
99613178,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA MATEMATICA,SCIENTIFICA,#N/D,,
99722514,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA ELETTRONICA,LINGUISTICA,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA DELL'AUTOMAZIONE
99672623,TITOLO CONSEGUITO,Arc - Urb - Cost,SCIENZE DELL'ARCHITETTURA,LINGUISTICA,#N/D,,
99690593,ATTIVO,Arc - Urb - Cost,ARCHITETTURA AMBIENTALE,SCIENTIFICA,#N/D,,
99594479,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA MECCANICA,SCIENTIFICA,#N/D,,
99689178,TITOLO CONSEGUITO,Des,DESIGN DEGLI INTERNI,CLASSICA,#N/D,,
99677363,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA ENERGETICA,SCIENTIFICA,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA ENERGETICA
99678442,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA ENERGETICA,SCIENTIFICA,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA ENERGETICA
99672215,TITOLO CONSEGUITO,Arc - Urb - Cost,SCIENZE DELL'ARCHITETTURA,TECNICA PER GEOMETRI,#N/D,,
99895638,DECADUTO,Ing Ind - Inf,INGEGNERIA INFORMATICA,SCIENTIFICA,#N/D,,
99660752,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA DELL'AUTOMAZIONE,SCIENTIFICA,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA DELL'AUTOMAZIONE
99662898,CONGEDATO,Ing Ind - Inf,INGEGNERIA ENERGETICA,SCIENTIFICA,#N/D,,
99694223,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA MECCANICA,SCIENTIFICA,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA GESTIONALE
99625934,TITOLO CONSEGUITO,Arc - Urb - Cost,SCIENZE DELL'ARCHITETTURA,CLASSICA,RINUNCIA AGLI STUDI,Arc - Urb - Cost,ARCHITETTURA
99594869,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA BIOMEDICA,SCIENTIFICA,#N/D,,
99594833,TITOLO CONSEGUITO,Arc - Urb - Cost,SCIENZE DELL'ARCHITETTURA,CLASSICA,#N/D,,
99662139,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA MATEMATICA,SCIENTIFICA,#N/D,,
99662100,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA GESTIONALE,SCIENTIFICA,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA GESTIONALE
99679043,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA ENERGETICA,SCIENTIFICA,#N/D,,
99800797,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA DEI MATERIALI,SCIENTIFICA,#N/D,,
99672597,TITOLO CONSEGUITO,Des,DESIGN DEGLI INTERNI,CLASSICA,TITOLO CONSEGUITO,Des,DESIGN DEL PRODOTTO PER L'INNOVAZIONE
99689503,TITOLO CONSEGUITO,Arc - Urb - Cost,ARCHITETTURA AMBIENTALE,CLASSICA,#N/D,,
99680788,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA INFORMATICA,SCIENTIFICA,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA INFORMATICA
99662173,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA DELL'AUTOMAZIONE,SCIENTIFICA,#N/D,,
99679399,TITOLO CONSEGUITO,Ing - Civ,INGEGNERIA CIVILE,SCIENTIFICA,#N/D,,
99621961,TITOLO CONSEGUITO,Des,DESIGN DEGLI INTERNI,CLASSICA,TITOLO CONSEGUITO,Des,INTERIOR DESIGN
99625411,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA MECCANICA,SCIENTIFICA,#N/D,,
99620107,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA ENERGETICA,SCIENTIFICA,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA ENERGETICA
99679951,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA MECCANICA,SCIENTIFICA,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA MECCANICA
99637602,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA ENERGETICA,SCIENTIFICA,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA ENERGETICA
99678277,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA GESTIONALE,SCIENTIFICA,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA GESTIONALE
99612310,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA MATEMATICA,SCIENTIFICA,#N/D,,
