"ID","Liceo","Cittadinanza","Scuola Triennale","CDS Triennale","Carriera Triennale","Scuola Magistrale","CDS Magistrale","Carriera Magistrale"
"99595224","Classica","ITALIANA","Des","DESIGN DELLA COMUNICAZIONE","Laurea Triennale Des","#N/A","#N/A","#N/A"
"99595174","Scientifica","ITALIANA","Arc - Urb - Cost","PROGETTAZIONE ARCHITETTONICA","Laurea Triennale Arc - Urb - Cost","#N/A","#N/A","#N/A"
"99596844","Classica","ITALIANA","Arc - Urb - Cost","SCIENZE DELL'ARCHITETTURA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99694936","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA DEI MATERIALI E DELLE NANOTECNOLOGIE","Disattivata Triennale","#N/A","#N/A","#N/A"
"99613178","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA MATEMATICA","Laurea Triennale Ing Ind - Inf","#N/A","#N/A","#N/A"
"99797956","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA CHIMICA","Laurea Triennale Ing Ind - Inf","#N/A","#N/A","#N/A"
"99592745","Scientifica","ITALIANA","Arc - Urb - Cost","SCIENZE DELL'ARCHITETTURA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99598215","Classica","ITALIANA","Des","DESIGN DELLA MODA","Laurea Triennale Des","#N/A","#N/A","#N/A"
"99595805","Classica","ITALIANA","Arc - Urb - Cost","PROGETTAZIONE ARCHITETTONICA","Laurea Triennale Arc - Urb - Cost","#N/A","#N/A","#N/A"
"99612167","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA GESTIONALE","Laurea Triennale Ing Ind - Inf","#N/A","#N/A","#N/A"
"99599909","Artistica","ITALIANA","Des","DESIGN DELLA MODA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99593088","TECNICA PER GEOMETRA","ALBANESE","Arc - Urb - Cost","SCIENZE DELL'ARCHITETTURA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99606581","Magistrale","ITALIANA","Ing Ind - Inf","INGEGNERIA AEROSPAZIALE","Disattivata Triennale","#N/A","#N/A","#N/A"
"99594346","Scientifica","ITALIANA","Des","DESIGN DELLA MODA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99595344","Classica","ITALIANA","Ing Ind - Inf","INGEGNERIA GESTIONALE","Laurea Triennale Ing Ind - Inf","#N/A","#N/A","#N/A"
"99606203","Scientifica","ITALIANA","Ing - Civ","INGEGNERIA CIVILE","Laurea Triennale Ing - Civ","#N/A","#N/A","#N/A"
"99593962","TECNICA INDUSTRIALE","ITALIANA","Ing Ind - Inf","INGEGNERIA INFORMATICA","Laurea Triennale Ing Ind - Inf","#N/A","#N/A","#N/A"
"99608087","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA ENERGETICA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99656111","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA ENERGETICA","Attiva Triennale","#N/A","#N/A","#N/A"
"99592212","Artistica","ITALIANA","Arc - Urb - Cost","SCIENZE DELL'ARCHITETTURA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99591821","Scientifica","ITALIANA","Des","DESIGN DEGLI INTERNI","Laurea Triennale Des","#N/A","#N/A","#N/A"
"99597300","Classica","ITALIANA","Arc - Urb - Cost","ARCHITETTURA DELLE COSTRUZIONI","Laurea Triennale Arc - Urb - Cost","#N/A","#N/A","#N/A"
"99593437","Artistica","ITALIANA","Ing Ind - Inf","INGEGNERIA ELETTRONICA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99604810","Scientifica","ITALIANA","Ing Ind - Inf","INGEGNERIA GESTIONALE","Disattivata Triennale","#N/A","#N/A","#N/A"
"99598150","Artistica","ITALIANA","Des","DESIGN DELLA MODA","Laurea Triennale Des","#N/A","#N/A","#N/A"
"99598874","Scientifica","ITALIANA","Des","DESIGN DEL PRODOTTO INDUSTRIALE","Disattivata Triennale","#N/A","#N/A","#N/A"
"99593254","Classica","ITALIANA","Des","DESIGN DELLA COMUNICAZIONE","Laurea Triennale Des","#N/A","#N/A","#N/A"
"99599210","Scientifica","ITALIANA","Des","DESIGN DEGLI INTERNI","Laurea Triennale Des","#N/A","#N/A","#N/A"
"99595369","Scientifica","ITALIANA","Arc - Urb - Cost","SCIENZE DELL'ARCHITETTURA","Attiva Triennale","#N/A","#N/A","#N/A"
"99591055","TECNICA PER GEOMETRA","ITALIANA","Arc - Urb - Cost","INGEGNERIA EDILE - ARCHITETTURA","Attiva Triennale","#N/A","#N/A","#N/A"
"99611270","Classica","ITALIANA","Ing Ind - Inf","INGEGNERIA DELL'AUTOMAZIONE","Laurea Triennale Ing Ind - Inf","#N/A","#N/A","#N/A"
"99592414","TECNICA PER GEOMETRA","ITALIANA","Arc - Urb - Cost","SCIENZE DELL'ARCHITETTURA","Laurea Triennale Arc - Urb - Cost","#N/A","#N/A","#N/A"
"99598450","Scientifica","ITALIANA","Des","DESIGN DEGLI INTERNI","Disattivata Triennale","#N/A","#N/A","#N/A"
"99598445","Linguistica","ITALIANA","Des","DESIGN DELLA MODA","Laurea Triennale Des","#N/A","#N/A","#N/A"
"99598622","Artistica","ITALIANA","Arc - Urb - Cost","ARCHITETTURA AMBIENTALE","Laurea Triennale Arc - Urb - Cost","#N/A","#N/A","#N/A"
"99594974","TECNICA PER GEOMETRA","ITALIANA","Ing Ind - Inf","INGEGNERIA INFORMATICA","Disattivata Triennale","#N/A","#N/A","#N/A"
"99594747","Classica","ITALIANA","Arc - Urb - Cost","INGEGNERIA EDILE - ARCHITETTURA","Attiva Triennale","#N/A","#N/A","#N/A"
"99595547","Scientifica","ITALIANA","Arc - Urb - Cost","SCIENZE DELL'ARCHITETTURA","Attiva Triennale","#N/A","#N/A","#N/A"
"99600950","ESTERA","CINESE","Ing Ind - Inf","INGEGNERIA ELETTRICA","Disattivata Triennale","#N/A","#N/A","#N/A"
